[regular] uni1EA8: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EA9: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EAA: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EAB: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EAE: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EAF: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EB0: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EB1: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EB2: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EB3: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EB4: added inherited anchor class 2 = (308, -110) from 'A'
[regular] uni1EB5: added inherited anchor class 2 = (196, -110) from 'a'
[regular] uni1EBA: added inherited anchor class 2 = (287, -110) from 'E'
[regular] uni1EBB: added inherited anchor class 2 = (234, -110) from 'e'
[regular] uni1EBC: added inherited anchor class 2 = (287, -110) from 'E'
[regular] uni1EBD: added inherited anchor class 2 = (234, -110) from 'e'
[regular] uni1EBE: added inherited anchor class 2 = (287, -110) from 'E'
[regular] uni1EBF: added inherited anchor class 2 = (234, -110) from 'e'
[regular] uni1EC0: added inherited anchor class 2 = (287, -110) from 'E'
[regular] uni1EC1: added inherited anchor class 2 = (234, -110) from 'e'
[regular] uni1EC2: added inherited anchor class 2 = (287, -110) from 'E'
[regular] uni1EC3: added inherited anchor class 2 = (234, -110) from 'e'
[regular] uni1EC4: added inherited anchor class 2 = (287, -110) from 'E'
[regular] uni1EC5: added inherited anchor class 2 = (234, -110) from 'e'
[regular] uni1EC8: added inherited anchor class 2 = (147, -110) from 'I'
[regular] uni1EC9: added inherited anchor class 2 = (136, -110) from 'i'
[regular] uni1ECE: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1ECF: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1ED0: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1ED1: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1ED2: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1ED3: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1ED4: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1ED5: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1ED6: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1ED7: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1EDA: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1EDB: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1EDC: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1EDD: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1EDE: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1EDF: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1EE0: added inherited anchor class 2 = (350, -110) from 'O'
[regular] uni1EE1: added inherited anchor class 2 = (243, -110) from 'o'
[regular] uni1EE6: added inherited anchor class 2 = (328, -110) from 'U'
[regular] uni1EE7: added inherited anchor class 2 = (239, -110) from 'u'
[regular] uni1EE8: added inherited anchor class 2 = (328, -110) from 'U'
[regular] uni1EE9: added inherited anchor class 2 = (239, -110) from 'u'
[regular] uni1EEA: added inherited anchor class 2 = (328, -110) from 'U'
[regular] uni1EEB: added inherited anchor class 2 = (239, -110) from 'u'
[regular] uni1EEC: added inherited anchor class 2 = (328, -110) from 'U'
[regular] uni1EED: added inherited anchor class 2 = (239, -110) from 'u'
[regular] uni1EEE: added inherited anchor class 2 = (328, -110) from 'U'
[regular] uni1EEF: added inherited anchor class 2 = (239, -110) from 'u'
[regular] Ygrave: added inherited anchor class 2 = (295, -110) from 'Y'
[regular] ygrave: added inherited anchor class 2 = (242, -319) from 'y'
[regular] uni1EF6: added inherited anchor class 2 = (295, -110) from 'Y'
[regular] uni1EF8: added inherited anchor class 2 = (295, -110) from 'Y'
[regular] uni1EF8: original base anchor class 2 exists {2: (295, -110)}
[regular] uni1EF9: added inherited anchor class 2 = (242, -319) from 'y'
[regular] uni1E91: added inherited anchor class 2 = (207, -110) from 'z'
Applied GSUB features from data/fea/regular/ccmp.fea
Patched font saved to /home/elliott/dev/libertinus-analysis/fonts/LibertinusSerif-Regular-patch.otf
